;;;;;;
;;ODERZO;;;;
DATA;GIORNO;NORD POSTUMIA;SUD POSTUMIA;PONTE DI PIAVE;SALGAREDA;CESSALTO
1/1/22;sabato;;;;;
1/2/22;domenica;;;;;
1/3/22;lunedì;;;;;
1/4/22;martedì;;;;;
1/5/22;mercoledì;;;;;
1/6/22;giovedì;;;;;
1/7/22;venerdì;;;;;
1/8/22;sabato;;;;;
1/9/22;domenica;;;;;
1/10/22;lunedì;;;;;
1/11/22;martedì;;;;;
1/12/22;mercoledì;;;;;
1/13/22;giovedì;;;;;
1/14/22;venerdì;;;;;
1/15/22;sabato;;;;;
1/16/22;domenica;;;;;
1/17/22;lunedì;;;;;
1/18/22;martedì;;;;;
1/19/22;mercoledì;;;;;
1/20/22;giovedì;;;;;
1/21/22;venerdì;;;;;
1/22/22;sabato;;;;;
1/23/22;domenica;;;;;
1/24/22;lunedì;;;;;
1/25/22;martedì;;;;;
1/26/22;mercoledì;;;;;
1/27/22;giovedì;;;;;
1/28/22;venerdì;;;;;
1/29/22;sabato;;;;;
1/30/22;domenica;;;;;
1/31/22;lunedì;;;;;
2/1/22;martedì;;;;;
2/2/22;mercoledì;;;;;
2/3/22;giovedì;;;;;
2/4/22;venerdì;;;;;
2/5/22;sabato;;;;;
2/6/22;domenica;;;;;
2/7/22;lunedì;;VERDE;VERDE;;VERDE
2/8/22;martedì;;;;;
2/9/22;mercoledì;;;;;
2/10/22;giovedì;;;;;
2/11/22;venerdì;;;;;
2/12/22;sabato;;;;;
2/13/22;domenica;;;;;
2/14/22;lunedì;VERDE;;;VERDE;
2/15/22;martedì;;;;;
2/16/22;mercoledì;;;;;
2/17/22;giovedì;;;;;
2/18/22;venerdì;;;;;
2/19/22;sabato;;;;;
2/20/22;domenica;;;;;
2/21/22;lunedì;;VERDE;VERDE;;VERDE
2/22/22;martedì;;;;;
2/23/22;mercoledì;;;;;
2/24/22;giovedì;;;;;
2/25/22;venerdì;;;;;
2/26/22;sabato;;;;;
2/27/22;domenica;;;;;
2/28/22;lunedì;VERDE;;;VERDE;
3/1/22;martedì;;;;;
3/2/22;mercoledì;;;;;
3/3/22;giovedì;;;;;
3/4/22;venerdì;;;;;
3/5/22;sabato;;;;;
3/6/22;domenica;;;;;
3/7/22;lunedì;;VERDE;VERDE;;VERDE
3/8/22;martedì;;;;;
3/9/22;mercoledì;;;;;
3/10/22;giovedì;;;;;
3/11/22;venerdì;;;;;
3/12/22;sabato;;;;;
3/13/22;domenica;;;;;
3/14/22;lunedì;VERDE;;;VERDE;
3/15/22;martedì;;;;;
3/16/22;mercoledì;;;;;
3/17/22;giovedì;;;;;
3/18/22;venerdì;;;;;
3/19/22;sabato;;;;;
3/20/22;domenica;;;;;
3/21/22;lunedì;;VERDE;VERDE;;VERDE
3/22/22;martedì;;;;;
3/23/22;mercoledì;;;;;
3/24/22;giovedì;;;;;
3/25/22;venerdì;;;;;
3/26/22;sabato;;;;;
3/27/22;domenica;;;;;
3/28/22;lunedì;VERDE;;;VERDE;
3/29/22;martedì;;;;;
3/30/22;mercoledì;;;;;
3/31/22;giovedì;;;;;
4/1/22;venerdì;;;;;
4/2/22;sabato;;;;;
4/3/22;domenica;;;;;
4/4/22;lunedì;VERDE;;VERDE;VERDE;VERDE
4/5/22;martedì;;VERDE;;;
4/6/22;mercoledì;;;;;
4/7/22;giovedì;;;;;
4/8/22;venerdì;;;;;
4/9/22;sabato;;;;;
4/10/22;domenica;;;;;
4/11/22;lunedì;VERDE;;VERDE;VERDE;VERDE
4/12/22;martedì;;VERDE;;;
4/13/22;mercoledì;;;;;
4/14/22;giovedì;;;;;
4/15/22;venerdì;;;;;
4/16/22;sabato;VERDE;VERDE;VERDE;VERDE;VERDE
4/17/22;domenica;;;;;
4/18/22;lunedì;;;;;
4/19/22;martedì;;;;;
4/20/22;mercoledì;;;;;
4/21/22;giovedì;;;;;
4/22/22;venerdì;;;;;
4/23/22;sabato;VERDE;VERDE;VERDE;VERDE;VERDE
4/24/22;domenica;;;;;
4/25/22;lunedì;;;;;
4/26/22;martedì;;;;;
4/27/22;mercoledì;;;;;
4/28/22;giovedì;;;;;
4/29/22;venerdì;;;;;
4/30/22;sabato;;;;;
5/1/22;domenica;;;;;
5/2/22;lunedì;VERDE;;VERDE;VERDE;VERDE
5/3/22;martedì;;VERDE;;;
5/4/22;mercoledì;;;;;
5/5/22;giovedì;;;;;
5/6/22;venerdì;;;;;
5/7/22;sabato;;;;;
5/8/22;domenica;;;;;
5/9/22;lunedì;VERDE;;VERDE;VERDE;VERDE
5/10/22;martedì;;VERDE;;;
5/11/22;mercoledì;;;;;
5/12/22;giovedì;;;;;
5/13/22;venerdì;;;;;
5/14/22;sabato;;;;;
5/15/22;domenica;;;;;
5/16/22;lunedì;VERDE;;VERDE;VERDE;VERDE
5/17/22;martedì;;VERDE;;;
5/18/22;mercoledì;;;;;
5/19/22;giovedì;;;;;
5/20/22;venerdì;;;;;
5/21/22;sabato;;;;;
5/22/22;domenica;;;;;
5/23/22;lunedì;VERDE;;VERDE;VERDE;VERDE
5/24/22;martedì;;VERDE;;;
5/25/22;mercoledì;;;;;
5/26/22;giovedì;;;;;
5/27/22;venerdì;;;;;
5/28/22;sabato;;;;;
5/29/22;domenica;;;;;
5/30/22;lunedì;VERDE;;VERDE;VERDE;VERDE
5/31/22;martedì;;VERDE;;;
6/1/22;mercoledì;;;;;
6/2/22;giovedì;;;;;
6/3/22;venerdì;;;;;
6/4/22;sabato;;;;;
6/5/22;domenica;;;;;
6/6/22;lunedì;VERDE;;;VERDE;
6/7/22;martedì;;;;;
6/8/22;mercoledì;;;;;
6/9/22;giovedì;;;;;
6/10/22;venerdì;;;;;
6/11/22;sabato;;;;;
6/12/22;domenica;;;;;
6/13/22;lunedì;;VERDE;VERDE;;VERDE
6/14/22;martedì;;;;;
6/15/22;mercoledì;;;;;
6/16/22;giovedì;;;;;
6/17/22;venerdì;;;;;
6/18/22;sabato;;;;;
6/19/22;domenica;;;;;
6/20/22;lunedì;VERDE;;;VERDE;
6/21/22;martedì;;;;;
6/22/22;mercoledì;;;;;
6/23/22;giovedì;;;;;
6/24/22;venerdì;;;;;
6/25/22;sabato;;;;;
6/26/22;domenica;;;;;
6/27/22;lunedì;;VERDE;VERDE;;VERDE
6/28/22;martedì;;;;;
6/29/22;mercoledì;;;;;
6/30/22;giovedì;;;;;
7/1/22;venerdì;;;;;
7/2/22;sabato;;;;;
7/3/22;domenica;;;;;
7/4/22;lunedì;VERDE;;;VERDE;
7/5/22;martedì;;;;;
7/6/22;mercoledì;;;;;
7/7/22;giovedì;;;;;
7/8/22;venerdì;;;;;
7/9/22;sabato;;;;;
7/10/22;domenica;;;;;
7/11/22;lunedì;;VERDE;VERDE;;VERDE
7/12/22;martedì;;;;;
7/13/22;mercoledì;;;;;
7/14/22;giovedì;;;;;
7/15/22;venerdì;;;;;
7/16/22;sabato;;;;;
7/17/22;domenica;;;;;
7/18/22;lunedì;VERDE;;;VERDE;
7/19/22;martedì;;;;;
7/20/22;mercoledì;;;;;
7/21/22;giovedì;;;;;
7/22/22;venerdì;;;;;
7/23/22;sabato;;;;;
7/24/22;domenica;;;;;
7/25/22;lunedì;;VERDE;VERDE;;VERDE
7/26/22;martedì;;;;;
7/27/22;mercoledì;;;;;
7/28/22;giovedì;;;;;
7/29/22;venerdì;;;;;
7/30/22;sabato;;;;;
7/31/22;domenica;;;;;
8/1/22;lunedì;VERDE;;;VERDE;
8/2/22;martedì;;;;;
8/3/22;mercoledì;;;;;
8/4/22;giovedì;;;;;
8/5/22;venerdì;;;;;
8/6/22;sabato;;;;;
8/7/22;domenica;;;;;
8/8/22;lunedì;;VERDE;VERDE;;VERDE
8/9/22;martedì;;;;;
8/10/22;mercoledì;;;;;
8/11/22;giovedì;;;;;
8/12/22;venerdì;;;;;
8/13/22;sabato;VERDE;;;VERDE;
8/14/22;domenica;;;;;
8/15/22;lunedì;;;;;
8/16/22;martedì;;;;;
8/17/22;mercoledì;;;;;
8/18/22;giovedì;;;;;
8/19/22;venerdì;;;;;
8/20/22;sabato;;;;;
8/21/22;domenica;;;;;
8/22/22;lunedì;;VERDE;VERDE;;VERDE
8/23/22;martedì;;;;;
8/24/22;mercoledì;;;;;
8/25/22;giovedì;;;;;
8/26/22;venerdì;;;;;
8/27/22;sabato;;;;;
8/28/22;domenica;;;;;
8/29/22;lunedì;VERDE;;;VERDE;
8/30/22;martedì;;;;;
8/31/22;mercoledì;;;;;
9/1/22;giovedì;;;;;
9/2/22;venerdì;;;;;
9/3/22;sabato;;;;;
9/4/22;domenica;;;;;
9/5/22;lunedì;;VERDE;VERDE;;VERDE
9/6/22;martedì;;;;;
9/7/22;mercoledì;;;;;
9/8/22;giovedì;;;;;
9/9/22;venerdì;;;;;
9/10/22;sabato;;;;;
9/11/22;domenica;;;;;
9/12/22;lunedì;VERDE;;;VERDE;
9/13/22;martedì;;;;;
9/14/22;mercoledì;;;;;
9/15/22;giovedì;;;;;
9/16/22;venerdì;;;;;
9/17/22;sabato;;;;;
9/18/22;domenica;;;;;
9/19/22;lunedì;;VERDE;VERDE;;VERDE
9/20/22;martedì;;;;;
9/21/22;mercoledì;;;;;
9/22/22;giovedì;;;;;
9/23/22;venerdì;;;;;
9/24/22;sabato;;;;;
9/25/22;domenica;;;;;
9/26/22;lunedì;VERDE;;;VERDE;
9/27/22;martedì;;;;;
9/28/22;mercoledì;;;;;
9/29/22;giovedì;;;;;
9/30/22;venerdì;;;;;
10/1/22;sabato;;;;;
10/2/22;domenica;;;;;
10/3/22;lunedì;;VERDE;VERDE;;VERDE
10/4/22;martedì;;;;;
10/5/22;mercoledì;;;;;
10/6/22;giovedì;;;;;
10/7/22;venerdì;;;;;
10/8/22;sabato;;;;;
10/9/22;domenica;;;;;
10/10/22;lunedì;VERDE;;;VERDE;
10/11/22;martedì;;;;;
10/12/22;mercoledì;;;;;
10/13/22;giovedì;;;;;
10/14/22;venerdì;;;;;
10/15/22;sabato;;;;;
10/16/22;domenica;;;;;
10/17/22;lunedì;;VERDE;VERDE;;VERDE
10/18/22;martedì;;;;;
10/19/22;mercoledì;;;;;
10/20/22;giovedì;;;;;
10/21/22;venerdì;;;;;
10/22/22;sabato;;;;;
10/23/22;domenica;;;;;
10/24/22;lunedì;VERDE;;;VERDE;
10/25/22;martedì;;;;;
10/26/22;mercoledì;;;;;
10/27/22;giovedì;;;;;
10/28/22;venerdì;;;;;
10/29/22;sabato;;;;;
10/30/22;domenica;;;;;
10/31/22;lunedì;;VERDE;VERDE;;VERDE
11/1/22;martedì;;;;;
11/2/22;mercoledì;;;;;
11/3/22;giovedì;;;;;
11/4/22;venerdì;;;;;
11/5/22;sabato;;;;;
11/6/22;domenica;;;;;
11/7/22;lunedì;VERDE;;;VERDE;
11/8/22;martedì;;;;;
11/9/22;mercoledì;;;;;
11/10/22;giovedì;;;;;
11/11/22;venerdì;;;;;
11/12/22;sabato;;;;;
11/13/22;domenica;;;;;
11/14/22;lunedì;;VERDE;VERDE;;VERDE
11/15/22;martedì;;;;;
11/16/22;mercoledì;;;;;
11/17/22;giovedì;;;;;
11/18/22;venerdì;;;;;
11/19/22;sabato;;;;;
11/20/22;domenica;;;;;
11/21/22;lunedì;VERDE;;;VERDE;
11/22/22;martedì;;;;;
11/23/22;mercoledì;;;;;
11/24/22;giovedì;;;;;
11/25/22;venerdì;;;;;
11/26/22;sabato;;;;;
11/27/22;domenica;;;;;
11/28/22;lunedì;;VERDE;VERDE;;VERDE
11/29/22;martedì;;;;;
11/30/22;mercoledì;;;;;
12/1/22;giovedì;;;;;
12/2/22;venerdì;;;;;
12/3/22;sabato;;;;;
12/4/22;domenica;;;;;
12/5/22;lunedì;VERDE;;;VERDE;
12/6/22;martedì;;;;;
12/7/22;mercoledì;;;;;
12/8/22;giovedì;;;;;
12/9/22;venerdì;;;;;
12/10/22;sabato;;;;;
12/11/22;domenica;;;;;
12/12/22;lunedì;;VERDE;VERDE;;VERDE
12/13/22;martedì;;;;;
12/14/22;mercoledì;;;;;
12/15/22;giovedì;;;;;
12/16/22;venerdì;;;;;
12/17/22;sabato;;;;;
12/18/22;domenica;;;;;
12/19/22;lunedì;VERDE;;;VERDE;
12/20/22;martedì;;;;;
12/21/22;mercoledì;;;;;
12/22/22;giovedì;;;;;
12/23/22;venerdì;;;;;
12/24/22;sabato;;VERDE;VERDE;;VERDE
12/25/22;domenica;;;;;
12/26/22;lunedì;;;;;
12/27/22;martedì;;;;;
12/28/22;mercoledì;;;;;
12/29/22;giovedì;;;;;
12/30/22;venerdì;;;;;
12/31/22;sabato;;;;;
